TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19986717,0.33996582,5.0230255,8.365326,0.33996582,5.0230255,8.365326,0.33996582,5.0230255,8.365326,0.33996582,5.0230255,8.365326,0.33996582,5.0230255,8.365326,0.33996582,5.0230255,8.365326,269,732,0,0,0.7875,0.015686275," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",6
19986879,0.43095398,5.209778,8.475464,0.43095398,5.209778,8.475464,0.43095398,5.209778,8.475464,0.43095398,5.209778,8.475464,0.43095398,5.209778,8.475464,0.43095398,5.209778,8.475464,749,176,0,0,0.675,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",6
19986879,0.43095398,5.209778,8.475464,0.43095398,5.209778,8.475464,0.43095398,5.209778,8.475464,0.43095398,5.209778,8.475464,0.43095398,5.209778,8.475464,0.43095398,5.209778,8.475464,749,176,0,0,0.675,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",6
19987002,0.37348938,5.219345,9.040497,0.37348938,5.219345,9.040497,0.37348938,5.219345,9.040497,0.37348938,5.219345,9.040497,0.37348938,5.219345,9.040497,0.37348938,5.219345,9.040497,722.40967,600.93884,-125.313866,2890.7205,0.675,0.015686275," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",6
19987219,0.4453125,5.2049866,8.240829,0.4453125,5.2049866,8.240829,0.4453125,5.2049866,8.240829,0.4453125,5.2049866,8.240829,0.112075806,-0.04862976,-0.033065796,0.112075806,-0.04862976,-0.033065796,356.03784,1105.9237,-3041.934,2713.5208,0.675,0.015686275," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",6
19987402,0.0909729,5.2433014,8.240829,0.0909729,5.2433014,8.240829,0.0909729,5.2433014,8.240829,0.0909729,5.2433014,8.240829,-0.279068,0.0688324,-0.08125305,-0.279068,0.0688324,-0.08125305,260.59146,870.6493,251.00075,-4391.982,0.675,0.023529414," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19987503,0.61291504,4.989502,8.710098,15.481567,-5.809021,-37.95929,15.481567,-5.809021,-37.95929,15.481567,-5.809021,-37.95929,15.481567,-5.809021,-37.95929,15.481567,-5.809021,-37.95929,264,723,0,0,0.25,0.003921569," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",7
19987664,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,739,252,0,0,0.6625,0.015686275," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",7
19987664,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,0.45968628,5.3007507,8.3797,739,252,0,0,0.6625,0.015686275," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",7
19987786,0.19152832,5.3821564,8.719681,0.19152832,5.3821564,8.719681,0.19152832,5.3821564,8.719681,0.19152832,5.3821564,8.719681,-0.12104797,0.15292358,0.42959595,-0.12104797,0.15292358,0.42959595,766.0993,584.11365,-187.67561,3983.482,0.6625,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",7
19988020,0.46925354,5.128372,8.609543,0.46925354,5.128372,8.609543,0.46925354,5.128372,8.609543,0.46925354,5.128372,8.609543,0.12388611,-0.116104126,0.33039856,0.12388611,-0.116104126,0.33039856,353.03506,1129.9299,-2742.2764,6309.4175,0.6625,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",7
19988204,0.40701294,5.2720184,8.494614,0.40701294,5.2720184,8.494614,0.40701294,5.2720184,8.494614,0.40701294,5.2720184,8.494614,0.049072266,0.08528137,0.17970276,0.049072266,0.08528137,0.17970276,207.61893,844.29297,897.2852,-3717.7043,0.6625,0.023529414," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19988288,0.47883606,4.8841705,8.75798,16.874695,-5.809021,-38.6261,16.874695,-5.809021,-38.6261,0.26068115,0.100753784,0.4050293,0.26068115,0.100753784,0.4050293,0.26068115,0.100753784,0.4050293,269,722,0,0,0.38750002,0.011764707," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",8
