TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19451490,-0.4333496,3.8139496,9.174576,-0.4333496,3.8139496,9.174576,-0.4333496,3.8139496,9.174576,-0.4333496,3.8139496,9.174576,-0.4333496,3.8139496,9.174576,-0.4333496,3.8139496,9.174576,212,1295,0,0,0.32500002,0.003921569," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",43
19451734,-0.6392517,4.0198517,8.786713,-0.6392517,4.0198517,8.786713,0.038360596,0.020233154,-0.009597778,0.038360596,0.020233154,-0.009597778,0.038360596,0.020233154,-0.009597778,0.038360596,0.020233154,-0.009597778,285,239,0,0,0.38750002,0.003921569," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",43
19451734,-0.6392517,4.0198517,8.786713,-0.6392517,4.0198517,8.786713,0.038360596,0.020233154,-0.009597778,0.038360596,0.020233154,-0.009597778,0.038360596,0.020233154,-0.009597778,0.038360596,0.020233154,-0.009597778,285,239,0,0,0.38750002,0.003921569," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",43
19451871,-0.59135437,3.6894531,9.4427185,-0.59135437,3.6894531,9.4427185,-0.59135437,3.6894531,9.4427185,-0.59135437,3.6894531,9.4427185,-0.59135437,3.6894531,9.4427185,-0.59135437,3.6894531,9.4427185,633.99536,132.71802,6561.6904,-1580.8435,0.825,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",43
19451988,-0.8643036,3.93367,8.920792,-0.8643036,3.93367,8.920792,-0.8643036,3.93367,8.920792,-0.8643036,3.93367,8.920792,-0.8643036,3.93367,8.920792,-0.8643036,3.93367,8.920792,1118.5647,95.40198,1304.5448,672.8911,0.825,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",43
19452138,-0.74458313,3.7133942,9.241608,22.442627,8.808899,-31.61316,22.442627,8.808899,-31.61316,22.442627,8.808899,-31.61316,22.442627,8.808899,-31.61316,22.442627,8.808899,-31.61316,772.9434,591.327,-5477.5137,5844.0615,0.825,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",43
19452239,-0.5051727,3.7900085,8.978256,-0.5051727,3.7900085,8.978256,-0.5051727,3.7900085,8.978256,-0.5051727,3.7900085,8.978256,-0.5051727,3.7900085,8.978256,-0.5051727,3.7900085,8.978256,353.13522,1079.5063,-3300.6345,3912.212,0.825,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19452441,-0.6871338,4.0342255,9.667786,-0.6871338,4.0342255,9.667786,-0.6871338,4.0342255,9.667786,-0.6871338,4.0342255,9.667786,-0.6871338,4.0342255,9.667786,-0.6871338,4.0342255,9.667786,157,1291,0,0,0.45000002,0.015686275," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",44
