TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern
19738319,-0.82359314,6.6007996,7.7691803,-0.82359314,6.6007996,7.7691803,-0.82359314,6.6007996,7.7691803,-0.82359314,6.6007996,7.7691803,-0.82359314,6.6007996,7.7691803,-0.82359314,6.6007996,7.7691803,340.17575,185.21704,-3820.7756,830.4698,0.8125,0.023529414,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",4,James,C
19738383,-1.0486603,6.8641663,8.295898,-1.0486603,6.8641663,8.295898,-1.0486603,6.8641663,8.295898,-1.0486603,6.8641663,8.295898,-0.1267395,0.38142395,0.99568176,-0.1267395,0.38142395,0.99568176,199.80066,231.97614,0,0,0.375,0.011764707,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",5,James,C
19738651,-0.7421875,6.634323,7.678192,-0.7421875,6.634323,7.678192,-0.7421875,6.634323,7.678192,-0.7421875,6.634323,7.678192,-0.7421875,6.634323,7.678192,-0.7421875,6.634323,7.678192,335,706,0,0,0.3375,0.007843138,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",5,James,C
19738651,-0.7421875,6.634323,7.678192,-0.7421875,6.634323,7.678192,-0.7421875,6.634323,7.678192,-0.7421875,6.634323,7.678192,-0.7421875,6.634323,7.678192,-0.7421875,6.634323,7.678192,335,706,0,0,0.3375,0.007843138,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",5,James,C
19738769,-1.0294952,6.490677,7.5680695,-1.0294952,6.490677,7.5680695,-1.0294952,6.490677,7.5680695,-1.0294952,6.490677,7.5680695,-1.0294952,6.490677,7.5680695,-1.0294952,6.490677,7.5680695,613.34863,734.91235,6591.362,878.88257,0.7375,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",5,James,C
19738836,-0.61769104,6.514618,7.5680695,-0.61769104,6.514618,7.5680695,-0.61769104,6.514618,7.5680695,-0.61769104,6.514618,7.5680695,-0.61769104,6.514618,7.5680695,-0.61769104,6.514618,7.5680695,1064.7833,717.55884,6078.0776,-1411.4924,0.7375,0.011764707,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",5,James,C
19738986,-0.9337311,6.203369,7.2328796,-0.9337311,6.203369,7.2328796,-0.9337311,6.203369,7.2328796,-0.9337311,6.203369,7.2328796,-0.9337311,6.203369,7.2328796,-0.9337311,6.203369,7.2328796,1243.5613,357.35413,-2572.877,-4032.3994,0.7375,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",5,James,C
19739087,-1.06781,6.4236298,7.898468,-1.06781,6.4236298,7.898468,-1.06781,6.4236298,7.898468,-1.06781,6.4236298,7.898468,-1.06781,6.4236298,7.898468,-1.06781,6.4236298,7.898468,771.91315,113.95825,-6317.9,75.73122,0.7375,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",5,James,C
19739153,-0.96725464,6.653473,7.4579315,-0.96725464,6.653473,7.4579315,-0.96725464,6.653473,7.4579315,-0.96725464,6.653473,7.4579315,-0.96725464,6.653473,7.4579315,-0.96725464,6.653473,7.4579315,378.32443,162.80957,-5763.258,1428.6781,0.7375,0.027450982,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",5,James,C
19739252,-1.1683655,6.854599,8.085205,27.838135,-11.90033,-21.426392,27.838135,-11.90033,-21.426392,27.838135,-11.90033,-21.426392,27.838135,-11.90033,-21.426392,27.838135,-11.90033,-21.426392,128,260,0,0,0.25,0.003921569,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",6,James,C
