@relation mattPattern3-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]'}
@attribute ' Counter' numeric
@attribute Name {Matt}
@attribute Pattern {C}

@data
-1.233002,6.746857,7.496231,-1.233002,6.746857,7.496231,-1.233002,6.746857,7.496231,0.326019,0.185318,0.316162,0.326019,0.185318,0.316162,0.326019,0.185318,0.316162,567.29956,735.70557,4836.6934,-271.5225,0.725,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4,Matt,C
-1.290466,7.062882,7.275971,-1.290466,7.062882,7.275971,0.031967,-0.010651,0.044739,0.031967,-0.010651,0.044739,0.031967,-0.010651,0.044739,0.031967,-0.010651,0.044739,1057.3899,717,2501.291,0.427443,0.725,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4,Matt,C
-1.491577,7.201752,6.351807,-1.491577,7.201752,6.351807,0.136353,0.137405,-0.117172,0.136353,0.137405,-0.117172,0.136353,0.137405,-0.117172,0.136353,0.137405,-0.117172,1148.8419,387.79913,-733.2998,-2585.967,0.725,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4,Matt,C
-1.568192,7.072464,5.82988,-1.568192,7.072464,5.82988,-1.568192,7.072464,5.82988,-1.568192,7.072464,5.82988,0.151581,-0.066132,-0.670212,0.151581,-0.066132,-0.670212,867.15515,237.1596,-5442.845,804.9793,0.725,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4,Matt,C
-1.845917,7.465118,6.332657,-1.845917,7.465118,6.332657,-1.845917,7.465118,6.332657,0.340439,0.215637,0.318359,0.340439,0.215637,0.318359,0.340439,0.215637,0.318359,362.50226,302.94977,-4133.098,406.4463,0.725,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',4,Matt,C
-0.964859,6.885712,6.715729,-0.964859,6.885712,6.715729,0.09375,0.085205,-0.018097,0.09375,0.085205,-0.018097,0.09375,0.085205,-0.018097,0.09375,0.085205,-0.018097,141,334,0,0,0.2625,0.003922,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',5,Matt,C
-1.726212,6.904877,4.201813,-1.726212,6.904877,4.201813,-1.726212,6.904877,4.201813,-1.726212,6.904877,4.201813,-1.726212,6.904877,4.201813,-1.726212,6.904877,4.201813,279,760,0,0,0.725,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',5,Matt,C
-1.726212,6.904877,4.201813,-1.726212,6.904877,4.201813,-1.726212,6.904877,4.201813,-1.726212,6.904877,4.201813,-1.726212,6.904877,4.201813,-1.726212,6.904877,4.201813,279,760,0,0,0.725,0.023529,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',5,Matt,C
-1.5634,7.19696,7.007828,-1.5634,7.19696,7.007828,-1.5634,7.19696,7.007828,0.326767,0.192657,0.332459,0.326767,0.192657,0.332459,0.326767,0.192657,0.332459,627.7801,736.14795,6400.0264,-347.56992,0.725,0.015686,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',5,Matt,C
-0.557846,6.512222,7.352585,-0.557846,6.512222,7.352585,-0.557846,6.512222,7.352585,-0.557846,6.512222,7.352585,-0.557846,6.512222,7.352585,-0.557846,6.512222,7.352585,1036.2037,734,2852.9492,-76.23124,0.725,0.019608,'[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]',5,Matt,C
